BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,10000,6.1,1.1,10.59,yes,DQC,FreqD
BF,5,1,10000,11.3,1.1,20.54,yes,DQC,VPG
BF,5,1,10000,1.1,0.6,3.63,yes,Q0C,PPO
BF,5,1,10000,5.5,0.6,17.40,yes,Q0C,FreqC
BF,5,1,10000,5.6,0.6,17.23,yes,Q0C,FreqD
BF,5,1,10000,10.8,0.5,39.07,yes,Q0C,VPG
BF,5,1,10000,4.4,0.6,14.13,yes,PPO,FreqC
BF,5,1,10000,4.5,0.6,14.05,yes,PPO,FreqD
BF,5,1,10000,9.7,0.5,35.80,yes,PPO,VPG
BF,5,1,10000,0.1,0.7,0.30,no,FreqC,FreqD
BF,5,1,10000,5.3,0.6,18.58,yes,FreqC,VPG
BF,5,1,10000,5.2,0.6,17.63,yes,FreqD,VPG
BF,5,1,20000,1.1,0.6,3.47,yes,HLQλD,QλD
BF,5,1,20000,1.3,0.6,4.12,yes,HLQλD,HLQλC
BF,5,1,20000,1.4,1.1,2.50,yes,HLQλD,DualDQC
BF,5,1,20000,1.6,1.1,2.92,yes,HLQλD,DQD
BF,5,1,20000,2.4,1.0,4.49,yes,HLQλD,DualDQD
BF,5,1,20000,2.4,0.6,7.49,yes,HLQλD,Q0D
BF,5,1,20000,4.3,0.6,13.33,yes,HLQλD,QλC
BF,5,1,20000,5.3,0.6,16.84,yes,HLQλD,PPO
BF,5,1,20000,5.4,1.1,9.35,yes,HLQλD,DQC
BF,5,1,20000,5.6,0.6,17.60,yes,HLQλD,Q0C
BF,5,1,20000,9.5,0.6,31.99,yes,HLQλD,VPG
BF,5,1,20000,11.3,0.6,35.28,yes,HLQλD,FreqC
BF,5,1,20000,12.2,0.6,36.83,yes,HLQλD,FreqD
BF,5,1,20000,0.2,0.6,0.63,no,QλD,HLQλC
BF,5,1,20000,0.3,1.1,0.54,no,QλD,DualDQC
BF,5,1,20000,0.5,1.1,0.91,no,QλD,DQD
BF,5,1,20000,1.3,1.0,2.43,yes,QλD,DualDQD
BF,5,1,20000,1.3,0.6,4.06,yes,QλD,Q0D
BF,5,1,20000,3.2,0.6,9.92,yes,QλD,QλC
BF,5,1,20000,4.2,0.6,13.35,yes,QλD,PPO
BF,5,1,20000,4.3,1.1,7.45,yes,QλD,DQC
BF,5,1,20000,4.5,0.6,14.14,yes,QλD,Q0C
BF,5,1,20000,8.4,0.6,28.28,yes,QλD,VPG
BF,5,1,20000,10.2,0.6,31.84,yes,QλD,FreqC
BF,5,1,20000,11.1,0.6,33.51,yes,QλD,FreqD
BF,5,1,20000,0.1,1.1,0.18,no,HLQλC,DualDQC
BF,5,1,20000,0.3,1.1,0.55,no,HLQλC,DQD
BF,5,1,20000,1.1,1.0,2.06,yes,HLQλC,DualDQD
BF,5,1,20000,1.1,0.6,3.45,yes,HLQλC,Q0D
BF,5,1,20000,3.0,0.6,9.34,yes,HLQλC,QλC
BF,5,1,20000,4.0,0.6,12.77,yes,HLQλC,PPO
BF,5,1,20000,4.1,1.1,7.11,yes,HLQλC,DQC
BF,5,1,20000,4.3,0.6,13.57,yes,HLQλC,Q0C
BF,5,1,20000,8.2,0.6,27.75,yes,HLQλC,VPG
BF,5,1,20000,10.0,0.6,31.35,yes,HLQλC,FreqC
BF,5,1,20000,10.9,0.6,33.04,yes,HLQλC,FreqD
BF,5,1,20000,0.2,1.4,0.28,no,DualDQC,DQD
BF,5,1,20000,1.0,1.4,1.42,no,DualDQC,DualDQD
BF,5,1,20000,1.0,1.1,1.78,no,DualDQC,Q0D
BF,5,1,20000,2.9,1.1,5.16,yes,DualDQC,QλC
BF,5,1,20000,3.9,1.1,6.99,yes,DualDQC,PPO
BF,5,1,20000,4.0,1.4,5.42,yes,DualDQC,DQC
BF,5,1,20000,4.2,1.1,7.50,yes,DualDQC,Q0C
BF,5,1,20000,8.1,1.1,14.78,yes,DualDQC,VPG
BF,5,1,20000,9.9,1.1,17.65,yes,DualDQC,FreqC
BF,5,1,20000,10.8,1.1,19.04,yes,DualDQC,FreqD
BF,5,1,20000,0.8,1.4,1.15,no,DQD,DualDQD
BF,5,1,20000,0.8,1.1,1.45,no,DQD,Q0D
BF,5,1,20000,2.7,1.1,4.89,yes,DQD,QλC
BF,5,1,20000,3.7,1.1,6.76,yes,DQD,PPO
BF,5,1,20000,3.8,1.4,5.20,yes,DQD,DQC
BF,5,1,20000,4.0,1.1,7.28,yes,DQD,Q0C
BF,5,1,20000,7.9,1.1,14.70,yes,DQD,VPG
BF,5,1,20000,9.7,1.1,17.61,yes,DQD,FreqC
BF,5,1,20000,10.6,1.1,19.03,yes,DQD,FreqD
BF,5,1,20000,0.0,1.1,0.00,no,DualDQD,Q0D
BF,5,1,20000,1.9,1.1,3.53,yes,DualDQD,QλC
BF,5,1,20000,2.9,1.0,5.44,yes,DualDQD,PPO
BF,5,1,20000,3.0,1.4,4.17,yes,DualDQD,DQC
BF,5,1,20000,3.2,1.0,5.98,yes,DualDQD,Q0C
BF,5,1,20000,7.1,1.0,13.58,yes,DualDQD,VPG
BF,5,1,20000,8.9,1.1,16.59,yes,DualDQD,FreqC
BF,5,1,20000,9.8,1.1,18.04,yes,DualDQD,FreqD
BF,5,1,20000,1.9,0.6,5.83,yes,Q0D,QλC
BF,5,1,20000,2.9,0.6,9.11,yes,Q0D,PPO
BF,5,1,20000,3.0,1.1,5.18,yes,Q0D,DQC
BF,5,1,20000,3.2,0.6,9.95,yes,Q0D,Q0C
BF,5,1,20000,7.1,0.6,23.61,yes,Q0D,VPG
BF,5,1,20000,8.9,0.6,27.48,yes,Q0D,FreqC
BF,5,1,20000,9.8,0.7,29.29,yes,Q0D,FreqD
BF,5,1,20000,1.0,0.6,3.12,yes,QλC,PPO
BF,5,1,20000,1.1,1.1,1.89,no,QλC,DQC
BF,5,1,20000,1.3,0.6,4.01,yes,QλC,Q0C
BF,5,1,20000,5.2,0.6,17.16,yes,QλC,VPG
BF,5,1,20000,7.0,0.6,21.47,yes,QλC,FreqC
BF,5,1,20000,7.9,0.7,23.46,yes,QλC,FreqD
BF,5,1,20000,0.1,1.1,0.17,no,PPO,DQC
BF,5,1,20000,0.3,0.6,0.95,no,PPO,Q0C
BF,5,1,20000,4.2,0.6,14.25,yes,PPO,VPG
BF,5,1,20000,6.0,0.6,18.85,yes,PPO,FreqC
BF,5,1,20000,6.9,0.6,20.96,yes,PPO,FreqD
BF,5,1,20000,0.2,1.1,0.35,no,DQC,Q0C
BF,5,1,20000,4.1,1.1,7.23,yes,DQC,VPG
BF,5,1,20000,5.9,1.1,10.18,yes,DQC,FreqC
BF,5,1,20000,6.8,1.1,11.61,yes,DQC,FreqD
BF,5,1,20000,3.9,0.6,13.07,yes,Q0C,VPG
BF,5,1,20000,5.7,0.6,17.72,yes,Q0C,FreqC
BF,5,1,20000,6.6,0.7,19.84,yes,Q0C,FreqD
BF,5,1,20000,1.8,0.6,5.98,yes,VPG,FreqC
BF,5,1,20000,2.7,0.6,8.64,yes,VPG,FreqD
BF,5,1,20000,0.9,0.7,2.69,yes,FreqC,FreqD
BF,5,1,30000,0.9,0.6,2.84,yes,HLQλD,QλD
BF,5,1,30000,1.2,0.6,3.69,yes,HLQλD,HLQλC
BF,5,1,30000,1.4,1.1,2.50,yes,HLQλD,DualDQC
BF,5,1,30000,1.5,1.1,2.73,yes,HLQλD,DQD
BF,5,1,30000,1.9,0.6,6.00,yes,HLQλD,Q0D
BF,5,1,30000,2.0,1.1,3.71,yes,HLQλD,DualDQD
BF,5,1,30000,3.8,0.6,11.84,yes,HLQλD,QλC
BF,5,1,30000,4.2,0.6,13.26,yes,HLQλD,PPO
BF,5,1,30000,5.0,0.6,15.75,yes,HLQλD,Q0C
BF,5,1,30000,5.1,1.1,8.83,yes,HLQλD,DQC
BF,5,1,30000,10.4,0.6,34.93,yes,HLQλD,VPG
BF,5,1,30000,10.9,0.6,33.95,yes,HLQλD,FreqC
BF,5,1,30000,12.4,0.7,37.28,yes,HLQλD,FreqD
BF,5,1,30000,0.3,0.6,0.93,no,QλD,HLQλC
BF,5,1,30000,0.5,1.1,0.90,no,QλD,DualDQC
BF,5,1,30000,0.6,1.1,1.09,no,QλD,DQD
BF,5,1,30000,1.0,0.6,3.17,yes,QλD,Q0D
BF,5,1,30000,1.1,1.1,2.04,yes,QλD,DualDQD
BF,5,1,30000,2.9,0.6,9.07,yes,QλD,QλC
BF,5,1,30000,3.3,0.6,10.46,yes,QλD,PPO
BF,5,1,30000,4.1,0.6,12.97,yes,QλD,Q0C
BF,5,1,30000,4.2,1.1,7.28,yes,QλD,DQC
BF,5,1,30000,9.5,0.6,32.07,yes,QλD,VPG
BF,5,1,30000,10.0,0.6,31.29,yes,QλD,FreqC
