"AIQ","HCI","SD","BF","BFactions","D","EL","AGNT","AGNTconf"
  2.2,  0.1,  6.4, BF,5, 1.0, 1000, Freq,0.01,8000
  2.2,  0.1,  6.5, BF,5, 1.0, 1000, Q_l,0.0,0.0,0.5,0.005,8000,0.95
  2.2,  0.2,  5.4, BF,5, 1.0, 1000, DualDQ_l,0.0003,0.99,32,0.005,8000,64,512,0,1,2,1.0,200,0.0,0
 22.8,  0.2, 12.5, BF,5, 1.0, 1000, Q_l,0.0,0.0,0.5,0.01,1000,0.99
 23.0,  0.2, 12.4, BF,5, 1.0, 1000, Q_l,0.0,0.0,0.5,0.001,1000,0.99
  2.3,  0.1,  5.5, BF,5, 1.0, 1000, Q_l,0.0,0.5,0.5,0.01,8000,0.99
  2.3,  0.1,  5.7, BF,5, 1.0, 1000, Q_l,0.0,0.5,0.5,0.005,8000,0.95
  2.3,  0.1,  6.2, BF,5, 1.0, 1000, Q_l,0.0,0.0,0.5,0.01,8000,0.99
  2.3,  0.2,  5.4, BF,5, 1.0, 1000, DualDQ_l,0.0003,0.99,32,0.01,8000,64,512,0,1,2,1.0,200,0.0,0
  2.3,  0.3,  5.8, BF,5, 1.0, 1000, DQ_l,0.0003,0.99,32,0.001,8000,64,512,0,1,2,0.0,0
  2.3,  0.3,  6.9, BF,5, 1.0, 1000, DQ_l,0.0003,0.99,32,0.005,8000,64,512,0,1,2,0.0,0
 23.1,  0.2, 12.7, BF,5, 1.0, 1000, Q_l,0.0,0.0,0.5,0.005,1000,0.99
 23.4,  0.5, 11.1, BF,5, 1.0, 1000, DualDQ_l,0.0003,0.99,32,0.001,1000,64,512,0,1,2,1.0,200,0.0,0
 23.4,  0.5, 11.1, BF,5, 1.0, 1000, DualDQ_l,0.0003,0.99,32,0.01,1000,64,512,0,1,2,1.0,200,0.0,0
 23.6,  0.2, 12.5, BF,5, 1.0, 1000, Q_l,0.0,0.0,0.5,0.01,1000,0.95
 23.9,  0.2, 12.0, BF,5, 1.0, 1000, Q_l,0.0,0.0,0.5,0.001,1000,0.95
 23.9,  0.5, 10.6, BF,5, 1.0, 1000, DualDQ_l,0.0003,0.99,32,0.005,1000,64,512,0,1,2,1.0,200,0.0,0
  2.4,  0.1,  6.0, BF,5, 1.0, 1000, Q_l,0.0,0.0,0.5,0.001,8000,0.95
  2.4,  0.1,  6.1, BF,5, 1.0, 1000, Q_l,0.0,0.5,0.5,0.005,8000,0.99
  2.4,  0.2,  5.6, BF,5, 1.0, 1000, DualDQ_l,0.0003,0.99,32,0.001,8000,64,512,0,1,2,1.0,200,0.0,0
 24.3,  0.2, 12.0, BF,5, 1.0, 1000, Q_l,0.0,0.0,0.5,0.005,1000,0.95
 24.3,  0.5, 11.4, BF,5, 1.0, 1000, DQ_l,0.0003,0.99,32,0.001,1000,64,512,0,1,2,0.0,0
 24.6,  0.3, 13.5, BF,5, 1.0, 1000, Freq,0.01,1000
 24.7,  0.3, 13.4, BF,5, 1.0, 1000, Freq,0.005,1000
 24.7,  0.3, 13.5, BF,5, 1.0, 1000, Freq,0.001,1000
 24.7,  0.5, 11.4, BF,5, 1.0, 1000, DQ_l,0.0003,0.99,32,0.005,1000,64,512,0,1,2,0.0,0
 25.0,  0.5, 11.5, BF,5, 1.0, 1000, DQ_l,0.0003,0.99,32,0.01,1000,64,512,0,1,2,0.0,0
  2.5,  0.1,  5.7, BF,5, 1.0, 1000, Q_l,0.0,0.5,0.5,0.01,8000,0.95
  2.5,  0.1,  5.8, BF,5, 1.0, 1000, Q_l,0.0,0.5,0.5,0.001,8000,0.95
  2.5,  0.1,  6.0, BF,5, 1.0, 1000, Q_l,0.0,0.5,0.5,0.001,8000,0.99
 25.9,  0.2, 11.8, BF,5, 1.0, 1000, Q_l,0.0,0.5,0.5,0.001,1000,0.99
 26.0,  0.2, 11.8, BF,5, 1.0, 1000, Q_l,0.0,0.5,0.5,0.005,1000,0.99
