BF,BFactions,D,EL,Delta_AIQ,HCI,t,Significant,AGNT1,AGNT2
BF,5,1,10000,8.1,0.6,26.45,yes,PPO,FreqD
BF,5,1,10000,26.1,0.5,105.09,yes,PPO,VPG
BF,5,1,10000,1.7,0.7,4.74,yes,QλC,Q0C
BF,5,1,10000,1.9,0.7,5.53,yes,QλC,FreqC
BF,5,1,10000,5.6,0.7,16.53,yes,QλC,FreqD
BF,5,1,10000,23.6,0.6,82.07,yes,QλC,VPG
BF,5,1,10000,0.2,0.7,0.59,no,Q0C,FreqC
BF,5,1,10000,3.9,0.7,11.64,yes,Q0C,FreqD
BF,5,1,10000,21.9,0.6,77.35,yes,Q0C,VPG
BF,5,1,10000,3.7,0.6,11.60,yes,FreqC,FreqD
BF,5,1,10000,21.7,0.5,82.25,yes,FreqC,VPG
BF,5,1,10000,18.0,0.5,69.83,yes,FreqD,VPG
BF,5,1,20000,1.3,0.6,3.99,yes,HLQλD,HLQλC
BF,5,1,20000,1.4,1.1,2.50,yes,HLQλD,DualDQC
BF,5,1,20000,1.6,1.1,2.92,yes,HLQλD,DQD
BF,5,1,20000,2.4,1.0,4.49,yes,HLQλD,DualDQD
BF,5,1,20000,2.6,0.6,8.34,yes,HLQλD,QλD
BF,5,1,20000,3.8,0.6,12.05,yes,HLQλD,Q0D
BF,5,1,20000,5.3,0.6,16.84,yes,HLQλD,PPO
BF,5,1,20000,5.4,1.1,9.35,yes,HLQλD,DQC
BF,5,1,20000,6.8,0.7,20.30,yes,HLQλD,QλC
BF,5,1,20000,8.2,0.7,24.65,yes,HLQλD,Q0C
BF,5,1,20000,11.3,0.6,35.28,yes,HLQλD,FreqC
BF,5,1,20000,13.7,0.6,42.29,yes,HLQλD,FreqD
BF,5,1,20000,21.1,0.6,74.55,yes,HLQλD,VPG
BF,5,1,20000,0.1,1.1,0.18,no,HLQλC,DualDQC
BF,5,1,20000,0.3,1.1,0.54,no,HLQλC,DQD
BF,5,1,20000,1.1,1.1,2.04,yes,HLQλC,DualDQD
BF,5,1,20000,1.3,0.6,4.05,yes,HLQλC,QλD
BF,5,1,20000,2.5,0.6,7.70,yes,HLQλC,Q0D
BF,5,1,20000,4.0,0.6,12.34,yes,HLQλC,PPO
BF,5,1,20000,4.1,1.1,7.04,yes,HLQλC,DQC
BF,5,1,20000,5.5,0.7,16.00,yes,HLQλC,QλC
BF,5,1,20000,6.9,0.7,20.20,yes,HLQλC,Q0C
BF,5,1,20000,10.0,0.6,30.34,yes,HLQλC,FreqC
BF,5,1,20000,12.4,0.7,37.23,yes,HLQλC,FreqD
